"nome","linguagem","total_pr_aceitas","total_releases","data_coleta"
"2dust/v2rayNG","Kotlin",670,307,"2026-08-19T14:04:57.322Z"
"lodash/lodash","JavaScript",644,4,"2026-08-19T14:04:57.322Z"
"RVC-Boss/GPT-SoVITS","Python",367,4,"2026-08-19T14:04:57.322Z"
"upstash/context7","TypeScript",481,105,"2026-08-19T14:04:57.322Z"
"Solido/awesome-flutter","Dart",452,0,"2026-08-19T14:04:57.322Z"
"tw93/Pake","Rust",162,51,"2026-08-19T14:04:57.322Z"
"h5bp/Front-end-Developer-Interview-Questions","Nunjucks",485,0,"2026-08-19T14:04:57.322Z"
"1c7/chinese-independent-developer","Python",742,0,"2026-08-19T14:04:57.322Z"
"ChrisTitusTech/winutil","PowerShell",1455,45,"2026-08-19T14:04:57.322Z"
"xingshaocheng/architect-awesome","N/A",49,0,"2026-08-19T14:04:57.322Z"
"atom/atom","JavaScript",3937,538,"2026-08-19T14:04:57.322Z"
"ultralytics/ultralytics","Python",5430,451,"2026-08-19T14:04:57.322Z"
"nuxt/nuxt","TypeScript",8311,291,"2026-08-19T14:04:57.322Z"
"coollabsio/coolify","PHP",2794,692,"2026-08-19T14:04:57.322Z"
"pocketbase/pocketbase","Go",55,284,"2026-08-19T14:04:57.322Z"
"pbakaus/impeccable","JavaScript",272,45,"2026-08-19T14:04:57.322Z"
"microsoft/autogen","Python",2537,98,"2026-08-19T14:04:57.322Z"
"pi-hole/pi-hole","Shell",2237,126,"2026-08-19T14:04:57.322Z"
"marktext/marktext","TypeScript",1371,47,"2026-08-19T14:04:57.322Z"
"adam-p/markdown-here","JavaScript",27,17,"2026-08-19T14:04:57.322Z"
"sharkdp/bat","Rust",1665,43,"2026-08-19T14:04:57.322Z"
"spring-projects/spring-framework","Java",941,363,"2026-08-19T14:04:57.322Z"
"CorentinJ/Real-Time-Voice-Cloning","Python",51,0,"2026-08-19T14:04:57.322Z"
"ghostty-org/ghostty","Zig",4481,1,"2026-08-19T14:04:57.322Z"
"jquery/jquery","JavaScript",902,13,"2026-08-19T14:04:57.322Z"
"shadowsocks/shadowsocks-windows","C#",290,55,"2026-08-19T14:04:57.322Z"
"meta-llama/llama","Python",54,0,"2026-08-19T14:04:57.322Z"
"byoungd/up","JavaScript",31,0,"2026-08-19T14:04:57.322Z"
"starship/starship","Rust",3204,141,"2026-08-19T14:04:57.322Z"
"FiloSottile/mkcert","Go",53,14,"2026-08-19T14:04:57.322Z"
"termux/termux-app","Java",178,95,"2026-08-19T14:04:57.322Z"
"rclone/rclone","Go",2490,131,"2026-08-19T14:04:57.322Z"
"meilisearch/meilisearch","Rust",2532,330,"2026-08-19T14:04:57.322Z"
"pathwaycom/llm-app","Jupyter Notebook",50,0,"2026-08-19T14:04:57.322Z"
"rust-unofficial/awesome-rust","Rust",1919,0,"2026-08-19T14:04:57.322Z"
"penpot/penpot","Clojure",6930,85,"2026-08-19T14:04:57.322Z"
"rails/rails","Ruby",26856,168,"2026-08-19T14:04:57.322Z"
"mvanhorn/last30days-skill","Python",466,41,"2026-08-19T14:04:57.322Z"
"tiimgreen/github-cheat-sheet","N/A",129,0,"2026-08-19T14:04:57.322Z"
"pmndrs/zustand","TypeScript",929,105,"2026-08-19T14:04:57.322Z"
"angular/angular.js","JavaScript",790,0,"2026-08-19T14:04:57.322Z"
"MemPalace/mempalace","Python",619,15,"2026-08-19T14:04:57.322Z"
"FoundationAgents/OpenManus","Python",116,3,"2026-08-19T14:04:57.322Z"
"ultralytics/yolov5","Python",2320,10,"2026-08-19T14:04:57.322Z"
"h5bp/html5-boilerplate","JavaScript",846,34,"2026-08-19T14:04:57.322Z"
"scutan90/DeepLearning-500-questions","JavaScript",302,0,"2026-08-19T14:04:57.322Z"
"go-gitea/gitea","Go",19731,235,"2026-08-19T14:04:57.322Z"
"deepfakes/faceswap","Python",370,5,"2026-08-19T14:04:57.322Z"
"zylon-ai/private-gpt","Python",309,14,"2026-08-19T14:04:57.322Z"
"crewAIInc/crewAI","Python",2122,230,"2026-08-19T14:04:57.322Z"
"karpathy/nanochat","Python",84,0,"2026-08-19T14:04:57.322Z"
"wasabeef/awesome-android-ui","N/A",91,0,"2026-08-19T14:04:57.322Z"
"Textualize/rich","Python",869,177,"2026-08-19T14:04:57.322Z"
"appwrite/appwrite","TypeScript",5258,132,"2026-08-19T14:04:57.322Z"
"FuelLabs/fuel-core","Rust",1657,130,"2026-08-19T14:04:57.322Z"
"soimort/you-get","Python",582,123,"2026-08-19T14:04:57.322Z"
"remotion-dev/remotion","TypeScript",6094,672,"2026-08-19T14:04:57.322Z"
"BerriAI/litellm","Python",14478,1000,"2026-08-19T14:04:57.322Z"
"ageitgey/face_recognition","Python",95,2,"2026-08-19T14:04:57.322Z"
"remix-run/react-router","TypeScript",3644,344,"2026-08-19T14:04:57.322Z"
"golang-standards/project-layout","Makefile",98,0,"2026-08-19T14:04:57.322Z"
"makeplane/plane","TypeScript",6446,63,"2026-08-19T14:04:57.322Z"
"Zie619/n8n-workflows","Python",34,1,"2026-08-19T14:04:57.322Z"
"laurent22/joplin","TypeScript",5989,417,"2026-08-19T14:04:57.322Z"
"gatsbyjs/gatsby","JavaScript",18303,158,"2026-08-19T14:04:57.322Z"
"jellyfin/jellyfin","C#",5626,112,"2026-08-19T14:04:57.322Z"
"azl397985856/leetcode","JavaScript",257,40,"2026-08-19T14:04:57.322Z"
"Raphire/Win11Debloat","PowerShell",130,37,"2026-08-19T14:04:57.322Z"
"firstcontributions/first-contributions","N/A",103349,0,"2026-08-19T14:04:57.322Z"
"typst/typst","Rust",2495,30,"2026-08-19T14:04:57.322Z"
"usestrix/strix","Python",361,26,"2026-08-19T14:04:57.322Z"
"FlowiseAI/Flowise","TypeScript",1820,85,"2026-08-19T14:04:57.322Z"
"AntonOsika/gpt-engineer","Python",351,21,"2026-08-19T14:04:57.322Z"
"twentyhq/twenty","TypeScript",14032,102,"2026-08-19T14:04:57.322Z"
"PowerShell/PowerShell","C#",8463,214,"2026-08-19T14:04:57.322Z"
"romkatv/powerlevel10k","Shell",170,33,"2026-08-19T14:04:57.322Z"
"ngosang/trackerslist","N/A",1,0,"2026-08-19T14:04:57.322Z"
"jingyaogong/minimind","Python",12,2,"2026-08-19T14:04:57.322Z"
"TryGhost/Ghost","JavaScript",18417,999,"2026-08-19T14:04:57.322Z"
"facebookresearch/segment-anything","Jupyter Notebook",16,0,"2026-08-19T14:04:57.322Z"
"WerWolv/ImHex","C++",782,82,"2026-08-19T14:04:57.322Z"
"wagoodman/dive","Go",164,28,"2026-08-19T14:04:57.322Z"
"lencx/ChatGPT","Rust",123,34,"2026-08-19T14:04:57.322Z"
"maybe-finance/maybe","Ruby",1073,28,"2026-08-19T14:04:57.322Z"
"psf/requests","Python",1697,19,"2026-08-19T14:04:57.322Z"
"vuejs/core","TypeScript",4066,292,"2026-08-19T14:04:57.322Z"
"ElemeFE/element","Vue",3228,145,"2026-08-19T14:04:57.322Z"
"agalwood/Motrix","TypeScript",235,29,"2026-08-19T14:04:57.322Z"
"odoo/odoo","Python",6183,0,"2026-08-19T14:04:57.322Z"
"google/material-design-icons","N/A",50,16,"2026-08-19T14:04:57.322Z"
"mozilla/pdf.js","JavaScript",9226,88,"2026-08-19T14:04:57.322Z"
"necolas/normalize.css","CSS",56,0,"2026-08-19T14:04:57.322Z"
"freqtrade/freqtrade","Python",6694,116,"2026-08-19T14:04:57.322Z"
"JetBrains/kotlin","Kotlin",3573,300,"2026-08-19T14:04:57.322Z"
"chinese-poetry/chinese-poetry","JavaScript",138,1,"2026-08-19T14:04:57.322Z"
"vsouza/awesome-ios","Swift",2256,0,"2026-08-19T14:04:57.322Z"
"ggml-org/whisper.cpp","C++",1023,38,"2026-08-19T14:04:57.322Z"
"aaif-goose/goose","Rust",5875,146,"2026-08-19T14:04:57.322Z"
"microsoft/VibeVoice","Python",41,0,"2026-08-19T14:04:57.322Z"
"dockur/windows","Shell",907,126,"2026-08-19T14:04:57.322Z"
"lyswhut/lx-music-desktop","TypeScript",101,113,"2026-08-19T14:04:57.322Z"
"sickcodes/Docker-OSX","Shell",109,0,"2026-08-19T14:04:57.322Z"
"ionic-team/ionic-framework","TypeScript",6788,948,"2026-08-19T14:04:57.322Z"
"hesreallyhim/awesome-claude-code","Python",221,0,"2026-08-19T14:04:57.322Z"
"jesseduffield/lazydocker","Go",195,47,"2026-08-19T14:04:57.322Z"
"lllyasviel/Fooocus","Python",448,21,"2026-08-19T14:04:57.322Z"
"prettier/prettier","JavaScript",10233,144,"2026-08-19T14:04:57.322Z"
"xai-org/grok-1","Python",5,0,"2026-08-19T14:04:57.322Z"
"etcd-io/etcd","Go",10618,292,"2026-08-19T14:04:57.322Z"
"bmad-code-org/BMAD-METHOD","JavaScript",842,39,"2026-08-19T14:04:57.322Z"
"VoltAgent/awesome-openclaw-skills","N/A",149,0,"2026-08-19T14:04:57.322Z"
"google/guava","Java",1439,60,"2026-08-19T14:04:57.322Z"
"anthropics/claude-cookbooks","Jupyter Notebook",198,0,"2026-08-19T14:04:57.322Z"
"dkhamsing/open-source-ios-apps","N/A",1714,37,"2026-08-19T14:04:57.322Z"
"run-llama/llama_index","Python",7944,432,"2026-08-19T14:04:57.322Z"
"expo/expo","TypeScript",23849,0,"2026-08-19T14:04:57.322Z"
"Avik-Jain/100-Days-Of-ML-Code","N/A",6,0,"2026-08-19T14:04:57.322Z"
"jekyll/jekyll","Ruby",3205,112,"2026-08-19T14:04:57.322Z"
"dbeaver/dbeaver","Java",7355,254,"2026-08-19T14:04:57.322Z"
"charlax/professional-programming","Python",44,0,"2026-08-19T14:04:57.322Z"
"poteto/hiring-without-whiteboards","JavaScript",1335,0,"2026-08-19T14:04:57.322Z"
"DefinitelyTyped/DefinitelyTyped","TypeScript",53489,1,"2026-08-19T14:04:57.322Z"
"ethereum/go-ethereum","Go",9278,232,"2026-08-19T14:04:57.322Z"
"justjavac/wechat-miniapp-radar","TypeScript",313,0,"2026-08-19T14:04:57.322Z"
"Semantic-Org/Semantic-UI","JavaScript",356,154,"2026-08-19T14:04:57.322Z"
"cypress-io/cypress","TypeScript",8856,402,"2026-08-19T14:04:57.322Z"
"diegosouzapw/OmniRoute","TypeScript",5494,278,"2026-08-19T14:04:57.322Z"
"jamiepine/voicebox","TypeScript",147,25,"2026-08-19T14:04:57.322Z"
"CherryHQ/cherry-studio","TypeScript",4941,277,"2026-08-19T14:04:57.322Z"
"bannedbook/fanqiang","Kotlin",3,3,"2026-08-19T14:04:57.322Z"
"nlohmann/json","C++",1156,45,"2026-08-19T14:04:57.322Z"
"mastodon/mastodon","Ruby",20646,360,"2026-08-19T14:04:57.322Z"
"TanStack/query","TypeScript",3819,1000,"2026-08-19T14:04:57.322Z"
"skylot/jadx","Java",652,35,"2026-08-19T14:04:57.322Z"
"serhii-londar/open-source-mac-os-apps","N/A",615,0,"2026-08-19T14:04:57.322Z"
"AlistGo/alist","Go",974,149,"2026-08-19T14:04:57.322Z"
"jgthms/bulma","CSS",646,22,"2026-08-19T14:04:57.322Z"
"chenglou/pretext","TypeScript",7,0,"2026-08-19T14:04:57.322Z"
"tldraw/tldraw","TypeScript",5480,134,"2026-08-19T14:04:57.322Z"
"huginn/huginn","Ruby",1179,1,"2026-08-19T14:04:57.322Z"
"NARKOZ/hacker-scripts","JavaScript",63,0,"2026-08-19T14:04:57.322Z"
"Lordog/dive-into-llms","Jupyter Notebook",11,1,"2026-08-19T14:04:57.322Z"
"jakevdp/PythonDataScienceHandbook","Jupyter Notebook",28,0,"2026-08-19T14:04:57.322Z"
"roboflow/supervision","Python",1378,40,"2026-08-19T14:04:57.322Z"
"pandas-dev/pandas","Python",29412,122,"2026-08-19T14:04:57.322Z"
"kelseyhightower/kubernetes-the-hard-way","N/A",73,0,"2026-08-19T14:04:57.322Z"
"hashicorp/terraform","Go",13650,436,"2026-08-19T14:04:57.322Z"
"ChromeDevTools/chrome-devtools-mcp","TypeScript",1139,58,"2026-08-19T14:04:57.322Z"
"ClickHouse/ClickHouse","C++",69143,828,"2026-08-19T14:04:57.322Z"
"astral-sh/ruff","Rust",16017,423,"2026-08-19T14:04:57.322Z"
"chen08209/FlClash","Dart",2,106,"2026-08-19T14:04:57.322Z"
"Homebrew/brew","Ruby",15234,509,"2026-08-19T14:04:57.322Z"
"x64dbg/x64dbg","C++",825,6,"2026-08-19T14:04:57.322Z"
"GokuMohandas/Made-With-ML","Jupyter Notebook",147,1,"2026-08-19T14:04:57.322Z"
"apple/container","Swift",731,20,"2026-08-19T14:04:57.322Z"
"JuliaLang/julia","Julia",27797,203,"2026-08-19T14:04:57.322Z"
"bigskysoftware/htmx","JavaScript",1190,32,"2026-08-19T14:04:57.322Z"
"calesthio/OpenMontage","Python",93,0,"2026-08-19T14:04:57.322Z"
"metabase/metabase","Clojure",46020,816,"2026-08-19T14:04:57.322Z"
"stablyai/orca","TypeScript",7836,932,"2026-08-19T14:04:57.322Z"
"akullpp/awesome-java","N/A",800,0,"2026-08-19T14:04:57.322Z"
"tmux/tmux","C",37,44,"2026-08-19T14:04:57.322Z"
"algorithm-visualizer/algorithm-visualizer","JavaScript",183,0,"2026-08-19T14:04:57.322Z"
"iamkun/dayjs","JavaScript",730,129,"2026-08-19T14:04:57.322Z"
"DovAmir/awesome-design-patterns","N/A",30,0,"2026-08-19T14:04:57.322Z"
"upscayl/upscayl","TypeScript",106,29,"2026-08-19T14:04:57.322Z"
"mudler/LocalAI","Go",6718,135,"2026-08-19T14:04:57.322Z"
"KRTirtho/spotube","Dart",261,44,"2026-08-19T14:04:57.322Z"
"nilbuild/design-patterns-for-humans","N/A",50,0,"2026-08-19T14:04:57.322Z"
"type-challenges/type-challenges","TypeScript",600,0,"2026-08-19T14:04:57.322Z"
"Aider-AI/aider","Python",288,93,"2026-08-19T14:04:57.322Z"
"brillout/awesome-react-components","N/A",343,0,"2026-08-19T14:04:57.322Z"
"ReactiveX/RxJava","Java",3587,267,"2026-08-19T14:04:57.322Z"
"slidevjs/slidev","TypeScript",901,430,"2026-08-19T14:04:57.322Z"
"moeru-ai/airi","TypeScript",1231,81,"2026-08-19T14:04:57.322Z"
"pixijs/pixijs","TypeScript",3878,308,"2026-08-19T14:04:57.322Z"
"hugohe3/ppt-master","Python",32,22,"2026-08-19T14:04:57.322Z"
"moment/moment","JavaScript",754,1,"2026-08-19T14:04:57.322Z"
"router-for-me/CLIProxyAPI","Go",692,817,"2026-08-19T14:04:57.322Z"
"karan/Projects","N/A",19,0,"2026-08-19T14:04:57.322Z"
"HKUDS/CLI-Anything","Python",187,3,"2026-08-19T14:04:57.322Z"
"calcom/cal.diy","TypeScript",13099,611,"2026-08-19T14:04:57.322Z"
"microsoft/qlib","Python",756,23,"2026-08-19T14:04:57.322Z"
"gogs/gogs","Go",1958,98,"2026-08-19T14:04:57.322Z"
"minimaxir/big-list-of-naughty-strings","Python",89,0,"2026-08-19T14:04:57.322Z"
"bevyengine/bevy","Rust",8627,58,"2026-08-19T14:04:57.322Z"
"discourse/discourse","Ruby",37216,1,"2026-08-19T14:04:57.322Z"
"lukasz-madon/awesome-remote-job","N/A",628,0,"2026-08-19T14:04:57.322Z"
"prisma/prisma","TypeScript",7054,254,"2026-08-19T14:04:57.322Z"
"oobabooga/textgen","Python",1273,113,"2026-08-19T14:04:57.322Z"
"GitHubDaily/GitHubDaily","N/A",3,0,"2026-08-19T14:04:57.322Z"
"acmesh-official/acme.sh","Shell",1627,48,"2026-08-19T14:04:57.322Z"
"jeecgboot/JeecgBoot","Java",133,64,"2026-08-19T14:04:57.322Z"
"dypsilon/frontend-dev-bookmarks","N/A",129,1,"2026-08-19T14:04:57.322Z"
"coreybutler/nvm-windows","Go",107,23,"2026-08-19T14:04:57.322Z"
"slab/quill","TypeScript",382,95,"2026-08-19T14:04:57.322Z"
"rohitg00/ai-engineering-from-scratch","Python",185,2,"2026-08-19T14:04:57.322Z"
"HKUDS/nanobot","Python",1516,19,"2026-08-19T14:04:57.322Z"
"typescript-cheatsheets/react","TypeScript",387,0,"2026-08-19T14:04:57.322Z"
"lysine-dev/okhttp","Kotlin",4160,0,"2026-08-19T14:04:57.322Z"
"elder-plinius/CL4R1T4S","N/A",0,0,"2026-08-19T14:04:57.322Z"
"gedoor/legado","Kotlin",0,0,"2026-08-19T14:04:57.322Z"
"KeygraphHQ/shannon","TypeScript",125,17,"2026-08-19T14:04:57.322Z"
"v2ray/v2ray-core","Go",203,247,"2026-08-19T14:04:57.322Z"
"serverless/serverless","JavaScript",5142,494,"2026-08-19T14:04:57.322Z"
"exo-explore/exo","Python",770,16,"2026-08-19T14:04:57.322Z"
"multica-ai/multica","Go",3176,142,"2026-08-19T14:04:57.322Z"
"kepano/obsidian-skills","N/A",16,0,"2026-08-19T14:04:57.322Z"
"Asabeneh/30-Days-Of-JavaScript","JavaScript",100,0,"2026-08-19T14:04:57.322Z"
"hiroi-sora/Umi-OCR","Python",58,31,"2026-08-19T14:04:57.322Z"
"SimplifyJobs/Summer2027-Internships","Python",1675,0,"2026-08-19T14:04:57.322Z"
"zhayujie/CowAgent","Python",410,80,"2026-08-19T14:04:57.322Z"
"microsoft/monaco-editor","JavaScript",668,189,"2026-08-19T14:04:57.322Z"
"apache/airflow","Python",39694,126,"2026-08-19T14:04:57.322Z"
"usebruno/bruno","JavaScript",2667,171,"2026-08-19T14:04:57.322Z"
"LeCoupa/awesome-cheatsheets","JavaScript",175,0,"2026-08-19T14:04:57.322Z"
"9001/copyparty","Python",211,346,"2026-08-19T14:04:57.322Z"
"docker/awesome-compose","HTML",153,0,"2026-08-19T14:04:57.322Z"
"ziishaned/learn-regex","N/A",132,0,"2026-08-19T14:04:57.322Z"
"Alishahryar1/free-claude-code","Python",317,0,"2026-08-19T14:04:57.322Z"
"iina/iina","Swift",1016,51,"2026-08-19T14:04:57.322Z"
"RocketChat/Rocket.Chat","TypeScript",16917,1000,"2026-08-19T14:04:57.322Z"
"jgm/pandoc","Haskell",1801,158,"2026-08-19T14:04:57.322Z"
"coqui-ai/TTS","Python",467,98,"2026-08-19T14:04:57.322Z"
"cli/cli","Go",3142,200,"2026-08-19T14:04:57.322Z"
"siyuan-note/siyuan","TypeScript",952,944,"2026-08-19T14:04:57.322Z"
"helix-editor/helix","Rust",4875,30,"2026-08-19T14:04:57.322Z"
"DIYgod/RSSHub","TypeScript",13171,0,"2026-08-19T14:04:57.322Z"
"DavidHDev/react-bits","JavaScript",214,0,"2026-08-19T14:04:57.322Z"
"android/architecture-samples","Kotlin",233,0,"2026-08-19T14:04:57.322Z"
"zhongyang219/TrafficMonitor","C++",79,27,"2026-08-19T14:04:57.322Z"
"milvus-io/milvus","Go",26931,170,"2026-08-19T14:04:57.322Z"
"google/zx","JavaScript",617,100,"2026-08-19T14:04:57.322Z"
"karanpratapsingh/system-design","N/A",14,0,"2026-08-19T14:04:57.322Z"
"QuantumNous/new-api","Go",1283,512,"2026-08-19T14:04:57.322Z"
"abhigyanpatwari/GitNexus","TypeScript",1253,0,"2026-08-19T14:04:57.322Z"
"streamlit/streamlit","Python",8366,0,"2026-08-19T14:04:57.322Z"
"ColorlibHQ/AdminLTE","Astro",1583,0,"2026-08-19T14:04:57.322Z"
"Leaflet/Leaflet","JavaScript",3327,0,"2026-08-19T14:04:57.322Z"
"jestjs/jest","TypeScript",5962,0,"2026-08-19T14:04:57.322Z"
"isocpp/CppCoreGuidelines","CSS",830,0,"2026-08-19T14:04:57.322Z"
"grpc/grpc","C++",20864,0,"2026-08-19T14:04:57.322Z"
"sickn33/agentic-awesome-skills","Python",779,0,"2026-08-19T14:04:57.322Z"
"GitSquared/edex-ui","JavaScript",399,0,"2026-08-19T14:04:57.322Z"
"pyenv/pyenv","Shell",1113,165,"2026-08-19T14:04:57.322Z"
"fastapi/full-stack-fastapi-template","TypeScript",727,15,"2026-08-19T14:04:57.322Z"
"MHSanaei/3x-ui","Go",1048,124,"2026-08-19T14:04:57.322Z"
"coreyhaines31/marketingskills","JavaScript",187,39,"2026-08-19T14:04:57.322Z"
"react-hook-form/react-hook-form","TypeScript",2314,618,"2026-08-19T14:04:57.322Z"
"meteor/meteor","JavaScript",2929,0,"2026-08-19T14:04:57.322Z"
"sudheerj/reactjs-interview-questions","JavaScript",170,0,"2026-08-19T14:04:57.322Z"
"mitmproxy/mitmproxy","Python",2830,81,"2026-08-19T14:04:57.322Z"
"DataTalksClub/data-engineering-zoomcamp","Jupyter Notebook",462,0,"2026-08-19T14:04:57.322Z"
"vercel/hyper","TypeScript",3292,88,"2026-08-19T14:04:57.322Z"
"files-community/Files","C#",5764,140,"2026-08-19T14:04:57.322Z"
"vnpy/vnpy","Python",1077,67,"2026-08-19T14:04:57.322Z"
"getsentry/sentry","Python",91170,176,"2026-08-19T14:04:57.322Z"
"logseq/logseq","Clojure",3400,153,"2026-08-19T14:04:57.322Z"
"spf13/cobra","Go",631,27,"2026-08-19T14:04:57.322Z"
"charmbracelet/bubbletea","Go",709,79,"2026-08-19T14:04:57.322Z"
"paperless-ngx/paperless-ngx","Python",3550,156,"2026-08-19T14:04:57.322Z"
"NaiboWang/EasySpider","JavaScript",47,11,"2026-08-19T14:04:57.322Z"
"AykutSarac/jsoncrack.com","TypeScript",91,23,"2026-08-19T14:04:57.322Z"
"payloadcms/payload","TypeScript",7704,574,"2026-08-19T14:04:57.322Z"
"sharkdp/fd","Rust",775,44,"2026-08-19T14:04:57.322Z"
"janhq/jan","TypeScript",3809,104,"2026-08-19T14:04:57.322Z"
"streamich/react-use","TypeScript",1534,257,"2026-08-19T14:04:57.322Z"
"parcel-bundler/parcel","JavaScript",2600,52,"2026-08-19T14:04:57.322Z"
"Kong/kong","Lua",6532,147,"2026-08-19T14:04:57.322Z"
"yangshun/front-end-interview-handbook","JavaScript",356,0,"2026-08-19T14:04:57.322Z"
"babel/babel","TypeScript",6739,468,"2026-08-19T14:04:57.322Z"
"zen-browser/desktop","JavaScript",1219,185,"2026-08-19T14:04:57.322Z"
"lysine-dev/retrofit","Java",1352,4,"2026-08-19T14:04:57.322Z"
"astaxie/build-web-application-with-golang","Go",757,0,"2026-08-19T14:04:57.322Z"
"apache/spark","Scala",8,0,"2026-08-19T14:04:57.322Z"
"DataExpert-io/data-engineer-handbook","Jupyter Notebook",181,0,"2026-08-19T14:04:57.322Z"
"aymericdamien/TensorFlow-Examples","Jupyter Notebook",88,0,"2026-08-19T14:04:57.322Z"
"ccxt/ccxt","Python",15583,248,"2026-08-19T14:04:57.322Z"
"ray-project/ray","Python",32148,128,"2026-08-19T14:04:57.322Z"
"juspay/hyperswitch","Rust",7593,158,"2026-08-19T14:04:57.322Z"
"colinhacks/zod","TypeScript",1134,205,"2026-08-19T14:04:57.322Z"
"danielmiessler/Fabric","Go",646,423,"2026-08-19T14:04:57.322Z"
"gradio-app/gradio","Python",5725,1000,"2026-08-19T14:04:57.322Z"
"Light-City/CPlusPlusThings","C++",78,0,"2026-08-19T14:04:57.322Z"
"ziglang/zig","Zig",9540,21,"2026-08-19T14:04:57.322Z"
"alex/what-happens-when","N/A",108,0,"2026-08-19T14:04:57.322Z"
"Unitech/pm2","JavaScript",558,138,"2026-08-19T14:04:57.322Z"
"HeyPuter/puter","TypeScript",2025,22,"2026-08-19T14:04:57.322Z"
"zbezj/HEU_KMS_Activator","N/A",0,54,"2026-08-19T14:04:57.322Z"
"FuelLabs/fuels-rs","Rust",915,121,"2026-08-19T14:04:57.322Z"
"mifi/lossless-cut","TypeScript",266,106,"2026-08-19T14:04:57.322Z"
"FuelLabs/fuels-ts","TypeScript",1979,156,"2026-08-19T14:04:57.322Z"
"Imbad0202/academic-research-skills","Python",408,40,"2026-08-19T14:04:57.322Z"
"juanfont/headscale","Go",1349,140,"2026-08-19T14:04:57.322Z"
"deepspeedai/DeepSpeed","Python",3169,115,"2026-08-19T14:04:57.322Z"
"faif/python-patterns","Python",293,0,"2026-08-19T14:04:57.322Z"
"curl/curl","C",211,97,"2026-08-19T14:04:57.322Z"
"k88hudson/git-flight-rules","N/A",227,0,"2026-08-19T14:04:57.322Z"
"mingrammer/diagrams","Python",360,46,"2026-08-19T14:04:57.322Z"
"apachecn/ailearning","Python",478,2,"2026-08-19T14:04:57.322Z"
"Alamofire/Alamofire","Swift",674,106,"2026-08-19T14:04:57.322Z"
"danny-avila/LibreChat","TypeScript",4119,94,"2026-08-19T14:04:57.322Z"
"imputnet/cobalt","Svelte",252,0,"2026-08-19T14:04:57.322Z"
"saadeghi/daisyui","JavaScript",608,228,"2026-08-19T14:04:57.322Z"
"666ghj/BettaFish","Python",119,6,"2026-08-19T14:04:57.322Z"
"fastlane/fastlane","Ruby",6482,568,"2026-08-19T14:04:57.322Z"
"LC044/WeChatMsg","N/A",62,0,"2026-08-19T14:04:57.322Z"
"nolimits4web/swiper","TypeScript",629,103,"2026-08-19T14:04:57.322Z"
"psf/black","Python",1892,55,"2026-08-19T14:04:57.322Z"
"agno-agi/agno","Python",3630,231,"2026-08-19T14:04:57.322Z"
"hexojs/hexo","TypeScript",1000,118,"2026-08-19T14:04:57.322Z"
"aria2/aria2","C++",258,24,"2026-08-19T14:04:57.322Z"
"freefq/free","N/A",0,0,"2026-08-19T14:04:57.322Z"
"dylanaraps/pure-bash-bible","Shell",28,0,"2026-08-19T14:04:57.322Z"
"heygen-com/hyperframes","TypeScript",2143,353,"2026-08-19T14:04:57.322Z"
"chubin/cheat.sh","Python",129,0,"2026-08-19T14:04:57.322Z"
"dcloudio/uni-app","JavaScript",583,0,"2026-08-19T14:04:57.322Z"
"apache/dubbo","Java",6133,114,"2026-08-19T14:04:57.322Z"
"sxyazi/yazi","Rust",1275,32,"2026-08-19T14:04:57.322Z"
"yarnpkg/yarn","JavaScript",1655,153,"2026-08-19T14:04:57.322Z"
"tabler/tabler","Astro",946,51,"2026-08-19T14:04:57.322Z"
"chatboxai/chatbox","TypeScript",81,60,"2026-08-19T14:04:57.322Z"
"hpcaitech/ColossalAI","Python",3708,50,"2026-08-19T14:04:57.322Z"
"exelban/stats","Swift",455,348,"2026-08-19T14:04:57.322Z"
"nwjs/nw.js","JavaScript",576,0,"2026-08-19T14:04:57.322Z"
"amruthpillai/reactive-resume","TypeScript",935,136,"2026-08-19T14:04:57.322Z"
"styled-components/styled-components","TypeScript",1067,239,"2026-08-19T14:04:57.322Z"
"XTLS/Xray-core","Go",1425,119,"2026-08-19T14:04:57.322Z"
"luongnv89/claude-howto","Python",69,10,"2026-08-19T14:04:57.322Z"
"vuetifyjs/vuetify","TypeScript",4808,674,"2026-08-19T14:04:57.322Z"
"bailicangdu/vue2-elm","Vue",21,0,"2026-08-19T14:04:57.322Z"
"gkd-kit/gkd","Kotlin",16,75,"2026-08-19T14:04:57.322Z"
"zai-org/ChatGLM-6B","Python",47,0,"2026-08-19T14:04:57.322Z"
"vercel-labs/agent-browser","Rust",580,102,"2026-08-19T14:04:57.322Z"
"goabstract/Awesome-Design-Tools","JavaScript",283,0,"2026-08-19T14:04:57.322Z"
"QSCTech/zju-icicles","HTML",232,0,"2026-08-19T14:04:57.322Z"
"Hmbown/CodeWhale","Rust",1753,133,"2026-08-19T14:04:57.322Z"
"vim/vim","Vim Script",440,0,"2026-08-19T14:04:57.322Z"
"facebookresearch/faiss","C++",137,28,"2026-08-19T14:04:57.322Z"
"ashishps1/awesome-system-design-resources","Java",3,0,"2026-08-19T14:04:57.322Z"
"appsmithorg/appsmith","TypeScript",14328,308,"2026-08-19T14:04:57.322Z"
"chatanywhere/GPT_API_free","N/A",1,0,"2026-08-19T14:04:57.322Z"
"remoteintech/remote-jobs","JavaScript",1454,0,"2026-08-19T14:04:57.322Z"
"bradtraversy/50projects50days","CSS",44,0,"2026-08-19T14:04:57.322Z"
