"nome","linguagem","total_pr_aceitas","total_releases","data_coleta"
"ytdl-org/youtube-dl","Python",1646,341,"2026-08-19T14:04:57.322Z"
"clash-verge-rev/clash-verge-rev","TypeScript",1014,67,"2026-08-19T14:04:57.322Z"
"microsoft/PowerToys","C",7012,141,"2026-08-19T14:04:57.322Z"
"iptv-org/iptv","TypeScript",6997,0,"2026-08-19T14:04:57.322Z"
"golang/go","Go",1,0,"2026-08-19T14:04:57.322Z"
"labuladong/fucking-algorithm","Markdown",244,0,"2026-08-19T14:04:57.322Z"
"Shubhamsaboo/awesome-llm-apps","Python",242,0,"2026-08-19T14:04:57.322Z"
"ripienaar/free-for-dev","HTML",3080,0,"2026-08-19T14:04:57.322Z"
"github/spec-kit","Python",1397,212,"2026-08-19T14:04:57.322Z"
"excalidraw/excalidraw","TypeScript",3961,15,"2026-08-19T14:04:57.322Z"
"krahets/hello-algo","Java",996,10,"2026-08-19T14:04:57.322Z"
"Chalarangelo/30-seconds-of-code","JavaScript",856,12,"2026-08-19T14:04:57.322Z"
"garrytan/gstack","TypeScript",307,0,"2026-08-19T14:04:57.322Z"
"Comfy-Org/ComfyUI","Python",3161,153,"2026-08-19T14:04:57.322Z"
"farion1231/cc-switch","Rust",458,51,"2026-08-19T14:04:57.322Z"
"react/react-native","C++",999,471,"2026-08-19T14:04:57.322Z"
"ggml-org/llama.cpp","C++",9753,1000,"2026-08-19T14:04:57.322Z"
"kubernetes/kubernetes","Go",65650,810,"2026-08-19T14:04:57.322Z"
"electron/electron","C++",26670,1000,"2026-08-19T14:04:57.322Z"
"shadcn-ui/ui","TypeScript",1439,117,"2026-08-19T14:04:57.322Z"
"rustdesk/rustdesk","Rust",4211,39,"2026-08-19T14:04:57.322Z"
"nodejs/node","JavaScript",13218,512,"2026-08-19T14:04:57.322Z"
"Hack-with-Github/Awesome-Hacking","N/A",41,0,"2026-08-19T14:04:57.322Z"
"justjavac/free-programming-books-zh_CN","N/A",300,3,"2026-08-19T14:04:57.322Z"
"nextlevelbuilder/ui-ux-pro-max-skill","Python",139,41,"2026-08-19T14:04:57.322Z"
"microsoft/generative-ai-for-beginners","Jupyter Notebook",601,0,"2026-08-19T14:04:57.322Z"
"godotengine/godot","C++",43375,72,"2026-08-19T14:04:57.322Z"
"rust-lang/rust","Rust",73601,153,"2026-08-19T14:04:57.322Z"
"mrdoob/three.js","JavaScript",16000,177,"2026-08-19T14:04:57.322Z"
"2dust/v2rayN","C#",606,333,"2026-08-19T14:04:57.322Z"
